PC1,PC2,TSNE1,TSNE2,image
-29.388971,21.383772,-20.64527,-5.7568436,LIDC-IDRI-0001_R_1.png
-29.920765,14.222701,-21.917545,-2.6702888,LIDC-IDRI-0003_R_2.png
-19.095882,-18.81086,-14.080592,-0.74823684,LIDC-IDRI-0003_R_3.png
-30.957767,0.9388368,-20.233215,-22.007273,LIDC-IDRI-0003_R_4.png
29.47196,12.0826845,28.778706,-3.7465057,LIDC-IDRI-0004_R_1.png
39.510086,14.500841,22.5507,0.42817202,LIDC-IDRI-0005_R_1.png
-32.30049,-8.795238,-16.079752,2.62919,LIDC-IDRI-0005_R_2.png
-31.084852,-3.2707043,-14.71334,1.4307005,LIDC-IDRI-0006_R_4.png
-19.235693,14.841133,-8.763034,-16.78112,LIDC-IDRI-0007_R_1.png
14.159737,-15.933507,6.6277766,-0.96525204,LIDC-IDRI-0008_R_1.png
9.06108,-12.925539,3.0574386,-1.0027236,LIDC-IDRI-0008_R_2.png
2.4403777,-17.96685,2.6755347,12.806151,LIDC-IDRI-0010_R_3.png
6.010607,-8.012521,-0.2964105,10.055497,LIDC-IDRI-0011_R_1.png
-15.487618,-6.5412254,-14.240728,-7.551546,LIDC-IDRI-0011_R_10.png
27.242685,22.44412,33.115475,-1.3374729,LIDC-IDRI-0011_R_6.png
21.305986,-11.53865,12.6554985,-1.5606519,LIDC-IDRI-0012_R_1.png
42.941364,64.17126,35.57525,4.168201,LIDC-IDRI-0012_R_10.png
22.142263,-13.170353,15.380546,-0.7337454,LIDC-IDRI-0012_R_2.png
25.623423,2.7989407,15.079677,2.106119,LIDC-IDRI-0012_R_3.png
-13.603816,-2.0079732,-18.82156,-19.610807,LIDC-IDRI-0012_R_4.png
18.355888,-5.4144998,12.54097,-2.6177652,LIDC-IDRI-0012_R_6.png
13.652659,-14.41306,5.311095,14.4938545,LIDC-IDRI-0012_R_7.png
24.655321,-14.684028,17.693602,10.91574,LIDC-IDRI-0012_R_9.png
-40.499546,12.191554,-22.559397,-1.2986802,LIDC-IDRI-0013_R_3.png
-27.047728,5.1519504,-19.534555,-15.746576,LIDC-IDRI-0014_R_1.png
-39.642822,11.967108,-23.143644,-3.9703538,LIDC-IDRI-0015_R_1.png
-46.965843,21.571514,-29.716492,-8.581761,LIDC-IDRI-0016_R_1.png
-38.95671,-2.5138001,-15.362458,0.6391462,LIDC-IDRI-0016_R_2.png
-45.609802,9.185951,-26.291853,0.5769282,LIDC-IDRI-0016_R_6.png
30.526108,-9.273043,21.624626,9.450923,LIDC-IDRI-0017_R_1.png
-3.5700853,-14.3540535,-6.710324,2.1919725,LIDC-IDRI-0018_R_1.png
-2.6660938,-13.043559,-9.613291,8.792778,LIDC-IDRI-0018_R_2.png
-35.999176,12.1288185,-22.677639,-9.065268,LIDC-IDRI-0018_R_4.png
30.26476,-1.5520724,23.311441,4.310173,LIDC-IDRI-0020_R_2.png
15.117134,7.2696195,31.634724,-7.6826286,LIDC-IDRI-0021_R_3.png
-35.567974,19.182539,-26.047955,-4.5735245,LIDC-IDRI-0023_R_1.png
29.548632,-2.4663837,14.742736,-3.861913,LIDC-IDRI-0024_R_1.png
-18.07199,0.27484947,-19.371101,-16.832602,LIDC-IDRI-0024_R_2.png
-21.96463,-2.391652,-22.043682,1.0490942,LIDC-IDRI-0024_R_3.png
-13.217676,-9.261142,-18.673872,-18.924566,LIDC-IDRI-0027_R_1.png
-14.377729,-11.528462,-12.629836,-1.755535,LIDC-IDRI-0027_R_2.png
1.7638537,-19.524923,-4.741591,5.8943424,LIDC-IDRI-0027_R_4.png
-5.203565,-17.71964,-11.337008,0.71539897,LIDC-IDRI-0027_R_5.png
-21.730932,-10.367364,-12.732526,4.077925,LIDC-IDRI-0031_R_3.png
15.373463,-14.327775,7.187032,2.971822,LIDC-IDRI-0031_R_4.png
-46.25804,4.916682,-19.39495,0.36215508,LIDC-IDRI-0031_R_5.png
14.029879,-8.739517,9.013405,2.265134,LIDC-IDRI-0034_R_1.png
-2.4224937,-17.093279,-5.3574295,7.1450715,LIDC-IDRI-0036_R_2.png
-38.3697,10.690586,-23.750237,-4.3164845,LIDC-IDRI-0037_R_1.png
-22.6479,-19.98525,-5.7716465,-3.8887274,LIDC-IDRI-0037_R_2.png
28.122877,22.036459,30.3904,-2.4238577,LIDC-IDRI-0039_R_1.png
32.168648,14.539566,23.837515,1.3640676,LIDC-IDRI-0039_R_2.png
43.16178,60.105194,35.15691,3.9561696,LIDC-IDRI-0039_R_3.png
16.958294,-11.011249,6.3876824,14.675608,LIDC-IDRI-0039_R_5.png
16.064146,-17.66683,-4.47626,17.87631,LIDC-IDRI-0040_R_2.png
-25.650978,6.5825577,-19.594131,-10.834897,LIDC-IDRI-0041_R_1.png
9.393022,-16.960133,0.28111902,17.229662,LIDC-IDRI-0042_R_3.png
-4.8623757,-21.982115,-8.023057,6.647808,LIDC-IDRI-0042_R_4.png
21.925829,-10.649353,12.78175,5.934285,LIDC-IDRI-0042_R_9.png
-10.011362,-14.1302,-11.624203,-5.45194,LIDC-IDRI-0043_R_1.png
-24.369465,2.8907177,-17.301464,-16.227955,LIDC-IDRI-0043_R_2.png
-40.065845,11.619262,-21.755484,-5.856836,LIDC-IDRI-0043_R_3.png
24.004707,17.077833,36.652016,-6.65316,LIDC-IDRI-0044_R_2.png
-32.45113,24.02391,-23.19295,-16.161633,LIDC-IDRI-0044_R_3.png
-20.765148,-1.5820884,-19.326824,-13.863409,LIDC-IDRI-0044_R_4.png
-33.545002,4.287691,-16.588518,-0.4703187,LIDC-IDRI-0045_R_10.png
-7.2344837,-16.795801,-7.928021,13.5781555,LIDC-IDRI-0045_R_11.png
-4.8785744,-16.784883,-10.187277,-6.224262,LIDC-IDRI-0045_R_12.png
-18.50052,-11.443702,-13.784744,1.5682533,LIDC-IDRI-0045_R_5.png
27.63103,16.072897,33.15169,-3.9910924,LIDC-IDRI-0045_R_6.png
18.310005,-7.032527,11.289097,-5.567663,LIDC-IDRI-0046_R_2.png
